Ball X Coordinates,Ball Y coordinate,euc dist,2.23,,Ball X Coordinates,Ball Y coordinate,euc dist,2.82
641,363,24.73,25.45,,,,,48.66
616,371,26.24,25.49,,216,695,14.86,51.24
590,381,27.85,25.49,,205,685,12.2,52.61
563,393,29.54,25.61,,212,675,13.45,52.69
535,408,31.76,26.24,,222,666,11.66,53.33
506,424,33.12,26.41,,232,660,8.06,57.8
475,445,37.44,27.2,,239,656,8,58.24
443,466,38.27,27.31,,247,656,7.07,58.69
410,491,41.4,27.78,,254,657,9.21,59.9
376,518,43.41,27.85,,263,659,,65.76
,,,27.85,,,,,66.21
,,,28.28,,291,661,,73.08
265,610,,28.28,,320,473,73.08,75.61
247,599,21.09,29,,341,403,58.24,78.58
227,590,21.93,29,,357,347,51.24,79.93
207,582,21.54,29.54,,372,298,95.7,95.7
212,572,11.18,31.06,,286,256,105.72,105.72
221,564,12.04,31.76,,390,237,5.83,
232,555,14.21,32.2,,385,240,5.65,
240,553,8.24,32.55,,381,244,8.6,
248,552,8.06,32.55,,376,251,10,
256,553,8.06,32.55,,370,259,10.77,
264,556,8.54,33.12,,366,269,10.77,
270,559,6.7,33.13,,362,279,13.92,
282,567,14.42,33.83,,357,292,16.76,
289,564,7.61,34.01,,352,308,17.72,
,,,34.05,,347,325,19.64,
350,407,,34.2,,342,344,22.8,
364,371,38.62,34.36,,336,366,24.51,
379,336,38.07,34.4,,331,390,27.65,
389,310,27.85,35.73,,325,417,29.42,
386,306,5,35.8,,320,446,32.55,
379,308,7.82,36.12,,314,478,35.51,
372,313,8.6,36.68,,308,513,,
364,319,10,37.44,,,,,
356,328,12.04,38.07,,317,510,37.69,
349,339,13.03,38.27,,331,475,29.54,
340,351,15,38.62,,343,448,26.4,
331,367,18.35,39.11,,354,424,21.93,
324,381,15.65,39.45,,363,404,4,
314,404,25.07,39.66,,363,408,22.84,
307,420,17.46,40,,354,429,19.92,
,,,40.26,,348,448,20.88,
285,481,,41.04,,342,468,17.46,
274,513,33.83,41.4,,335,484,,
263,548,36.68,43.41,,,,,
,,,43.5,,,,,
236,641,,44.04,,,,,
231,632,10.29,44.94,,,,,
224,619,14.76,47.67,,,,,
217,608,13.08,51,,,,,
209,599,12.04,60.46,,,,,
201,592,10.36,62.12,,,,,
194,587,8.6,69.35,,,,,
185,588,9.05,98.11,,,,,
178,586,7.28,,,,,,
170,589,8.54,,,,,,
161,596,11.4,,,,,,
153,604,11.31,,,,,,
145,615,13.6,,,,,,
143,617,2.82,,,,,,
146,612,5.83,,,,,,
151,607,7.07,,,,,,
154,606,3.16,,,,,,
158,606,4,,,,,,
161,609,4.24,,,,,,
165,615,7.21,,,,,,
169,623,8.9,,,,,,
172,631,8.54,,,,,,
177,645,14.86,,,,,,
165,666,24.18,,,,,,
214,581,98.11,,,,,,
,,,,,,,,
260,467,,,,,,,
293,406,69.35,,,,,,
315,373,39.66,,,,,,
335,345,34.4,,,,,,
333,331,14.14,,,,,,
322,333,11.18,,,,,,
??,337,,,,,,,
??,344,,,,,,,
336,351,,,,,,,
334,361,10.19,,,,,,
331,374,13.34,,,,,,
329,388,14.14,,,,,,
327,404,16.12,,,,,,
325,420,16.12,,,,,,
,,,,,,,,
320,470,,,,,,,
318,490,20.09,,,,,,
315,526,36.12,,,,,,
312,559,33.13,,,,,,
309,598,39.11,,,,,,
309,595,3,,,,,,
307,583,12.16,,,,,,
306,573,10.04,,,,,,
305,565,8.06,,,,,,
304,560,5.09,,,,,,
305,565,5.09,,,,,,
310,566,5.09,,,,,,
,,,,,,,,
501,406,,,,,,,
,,,,,,,,
,,,,,,,,
637,315,,,,,,,
666,315,29,,,,,,
682,317,16.12,,,,,,
698,322,16.76,,,,,,
719,328,21.84,,,,,,
742,337,24.69,,,,,,
764,346,23.76,,,,,,
787,359,26.41,,,,,,
811,373,27.78,,,,,,
837,390,31.06,,,,,,
863,409,32.2,,,,,,
